JAM,WINNER,GAME,THEME
15,jerrtato,Cute Little Death >>>https://jerrtato.itch.io/cute-little-death,HARD DECISIONS
14,JamminCogh,Hot Robots Near You >>>https://jammincogh.itch.io/hot-robots-near-you,Robots Have Feelings Too
13,Aemetta,Fall In Eggs >>>https://aemetta.itch.io/falling-in-eggs,Falling in [blank] <- you pick
12,wormius51,Karma Maze >>>https://wormius51.itch.io/karma-maze,Black and White
11,JavaSaurus,Rainbow Flames >>>https://javasaurus.itch.io/rainbow-flames,Taste the Rainbow
10,bojidar_bg,Flower Defense >>>https://bojidar-bg.itch.io/flower-defense,Messy Business
9,Dark Player,Block Buster >>>https://dark-player.itch.io/block-buster,Quick Pistols
8,(No entries),,
7,kaposts,Potatobattles >>>https://kaposts.itch.io/potatobattles,Immortal Potatoes
6,jdzsk & mermalade,Terrene Reverbaration >>>https://jdzsk.itch.io/terrene-reverberation,Planet BOOM
5,Yagich & JavaSaurus,Ancient Switches,Outdated technology
4,Run Hanako,Questionable Game Design Choices Made In This Gaem >>>https://run-hanako.itch.io/questionable-game-design-choices-made-in-this-gaem,Questionable Newspaper
3,jdzsk,Don't Get Sick Greenhouse >>>https://jdzsk.itch.io/dont-get-sick-greenhouse,Sick Greenhouse
2,Dromedda,Duckers >>>https://dromedda.itch.io/duckers,Acceptable Duck
1,Raul Rita,Unknown?,Unknown?
